------((Feature,Count): Accuracy), Ranked by Highest Accuracy Average on Mainframe Images -----
(('hanger', 1), 0.99989486)
(('footwear', 1), 0.99955714)
(('foot', 1), 0.9986764)
(('boutique', 1), 0.9979744)
(('laundry', 1), 0.9965949)
(('sale', 2), 0.995298)
(('option', 1), 0.9943725)
(('rack', 1), 0.99369156)
(('shoe', 1), 0.9910587)
(('market', 1), 0.98989916)
(('bargain', 1), 0.9891951)
(('public show', 1), 0.98417485)
(('polo', 5), 0.981539766)
(('moon', 61), 0.9805540311475416)
(('soccer', 5), 0.9802491440000001)
(('mall', 1), 0.97951746)
(('sneakers', 1), 0.9784651)
(('variation', 1), 0.97802293)
(('step', 1), 0.9754913)
(('astronomy', 59), 0.9751119806779651)
(('child', 1), 0.97416806)
(('eclipse', 59), 0.9735574322033892)
(('sit', 1), 0.9717859)
(('abstract', 139), 0.969054328345323)
(('presentation', 1), 0.96717167)
(('bird', 58), 0.9636667865517244)
(('blond', 1), 0.96317816)
(('garment', 9), 0.9612215777777777)
(('jersey', 6), 0.96101217)
(('desktop', 141), 0.9582547256737588)
(('shirt', 9), 0.9579629600000001)
(('football', 8), 0.9574438175)
(('sock', 1), 0.9561819)
(('sofa', 1), 0.9560446)
(('isolated', 13), 0.9535719938461539)
(('sky', 61), 0.9524018501639333)
(('wear', 23), 0.9520460726086956)
(('road', 1), 0.9511875)
(('no person', 123), 0.9491337356910587)
(('shop', 6), 0.9485003016666665)
(('apparel', 7), 0.9484685385714285)
(('dress', 5), 0.9479174260000001)
(('collar', 2), 0.946692885)
(('illustration', 79), 0.9460515151898731)
(('internet', 1), 0.94487274)
(('wedding', 1), 0.94371796)
(('uniform', 2), 0.9427501)
(('art', 135), 0.9417441992592575)
(('signalise', 1), 0.9414721)
(('casual', 13), 0.941254866923077)
(('wardrobe', 2), 0.937971125)
(('stock', 4), 0.9366522899999999)
(('textile', 21), 0.9362685142857142)
(('emergency', 1), 0.93593574)
(('tie', 1), 0.9351971)
(('shopping', 8), 0.9349992024999999)
(('disjunct', 2), 0.933800525)
(('Luna', 48), 0.9336413087500001)
(('business', 6), 0.9332687433333332)
(('satin', 3), 0.9326572899999999)
(('shelf', 1), 0.9319337)
(('family', 2), 0.931855765)
(('sleeve', 9), 0.9315418288888888)
(('horizontal', 1), 0.9312972)
(('cute', 3), 0.9303914999999999)
(('cotton', 13), 0.9295923976923076)
(('dark', 120), 0.9291648786666662)
(('tee', 2), 0.928245735)
(('identity', 1), 0.92806554)
(('catwalk', 1), 0.9278985)
(('vector', 71), 0.9274209446478866)
(('image', 5), 0.9272229679999999)
(('silk', 3), 0.9269571866666667)
(('flag', 10), 0.926786048)
(('people', 107), 0.9260544602803737)
(('window', 1), 0.92570347)
(('crescent', 49), 0.9256328869387764)
(('formalwear', 1), 0.92526674)
(('background', 116), 0.9246134734482764)
(('symbol', 6), 0.9244372316666668)
(('World Wide Web', 1), 0.92419827)
(('pattern', 124), 0.9237178113709688)
(('fashionable', 3), 0.92215224)
(('group', 1), 0.9214308)
(('adolescent', 1), 0.92127234)
(('bag', 1), 0.9212709)
(('outdoors', 7), 0.9212292428571429)
(('indoors', 6), 0.920159485)
(('subway system', 1), 0.9201393)
(('light', 77), 0.9186695231168822)
(('runway', 1), 0.918651)
(('fashion', 31), 0.9182266483870968)
(('price', 1), 0.9179282)
(('outerwear', 1), 0.91747046)
(('portrait', 49), 0.9172640116326533)
(('elegant', 7), 0.9167888042857145)
(('trendy', 1), 0.9151153)
(('pants', 3), 0.9129348)
(('collection', 2), 0.912119025)
(('love', 15), 0.9120483340000001)
(('sign', 2), 0.9112733)
(('tunnel', 1), 0.9107689)
(('festival', 1), 0.9107237)
(('friendly', 1), 0.9083309)
(('graphic', 26), 0.9079891115384616)
(('man', 30), 0.9077475736666667)
(('attractive', 1), 0.9076326)
(('championship', 1), 0.90742993)
(('hanging', 2), 0.9063894)
(('texture', 77), 0.9060131929870129)
(('sexy', 2), 0.905941065)
(('beautiful', 4), 0.90552071)
(('model', 4), 0.9053511875)
(('glazed', 1), 0.9046355)
(('color', 56), 0.9041554773214285)
(('wallpaper', 108), 0.9038402679629627)
(('winter', 4), 0.9034737150000001)
(('architecture', 3), 0.9032868833333333)
(('classic', 1), 0.90311134)
(('blur', 30), 0.9023572046666667)
(('design', 121), 0.9022216276033043)
